function,fun_type,description,comment,example
"anndata_hello","scalar","Returns a greeting message from the AnnData DuckDB extension.","","SELECT anndata_hello();"
"anndata_version","scalar","Returns the version of the AnnData DuckDB extension.","","SELECT anndata_version();"
"anndata_info","table","Returns metadata and structure information about an AnnData (.h5ad) file, including the number of observations, variables, available layers, embeddings, and other components.","","SELECT * FROM anndata_info('data.h5ad');"
"anndata_scan_obs","table","Scans the observation (cell) metadata from an AnnData file. Returns all columns from the obs DataFrame including cell barcodes, cell types, and other annotations.","","SELECT * FROM anndata_scan_obs('data.h5ad') LIMIT 5;"
"anndata_scan_var","table","Scans the variable (gene) metadata from an AnnData file. Returns all columns from the var DataFrame including gene IDs, gene names, and other annotations.","","SELECT * FROM anndata_scan_var('data.h5ad') LIMIT 5;"
"anndata_scan_x","table","Scans the main expression matrix (X) from an AnnData file. Returns the matrix with observation indices as rows and gene names as columns. Supports projection pushdown.","","SELECT * FROM anndata_scan_x('data.h5ad') LIMIT 5;"
"anndata_scan_obsm","table","Scans observation embeddings (obsm) from an AnnData file. Common embeddings include PCA (X_pca), UMAP (X_umap), and t-SNE (X_tsne).","Requires a key parameter specifying which embedding to read","SELECT * FROM anndata_scan_obsm('data.h5ad', 'X_umap') LIMIT 5;"
"anndata_scan_varm","table","Scans variable embeddings (varm) from an AnnData file, such as PCA loadings.","Requires a key parameter specifying which embedding to read","SELECT * FROM anndata_scan_varm('data.h5ad', 'PCs') LIMIT 5;"
"anndata_scan_layers","table","Scans alternative expression matrices (layers) from an AnnData file. Common layers include raw counts, normalized data, or scaled data. Supports projection pushdown.","Requires a layer parameter specifying which layer to read","SELECT * FROM anndata_scan_layers('data.h5ad', 'raw') LIMIT 5;"
"anndata_scan_uns","table","Scans unstructured metadata (uns) from an AnnData file. Returns key-value pairs with columns for key, type, dtype, shape, and value.","","SELECT * FROM anndata_scan_uns('data.h5ad');"
"anndata_scan_obsp","table","Scans observation pairwise matrices (obsp) from an AnnData file. These typically contain cell-cell distance or connectivity matrices.","Requires a key parameter specifying which matrix to read","SELECT * FROM anndata_scan_obsp('data.h5ad', 'distances') LIMIT 5;"
"anndata_scan_varp","table","Scans variable pairwise matrices (varp) from an AnnData file. These contain gene-gene relationship matrices.","Requires a key parameter specifying which matrix to read","SELECT * FROM anndata_scan_varp('data.h5ad', 'correlations') LIMIT 5;"
